Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
837	GO:CC	GO:0031010	ISWI-type complex	0.0078558059497987	True	"""Any nuclear protein complex that contains an ATPase subunit of the imitation switch (ISWI) family. ISWI ATPases are involved in assembling chromatin and in sliding and spacing nucleosomes to regulate transcription of nuclear RNA polymerases I, II, and III and also DNA replication, recombination and repair."" [GOC:krc, GOC:mah, PMID:15020051, PMID:15284901, PMID:16568949, PMID:21810179]"	14	104	2	17376	0.0192307692307692	0.1428571428571428	query_1	['GO:0070603']	['POLE3', 'CHRAC1']
838	GO:CC	GO:0140672	ATAC complex	0.0078558059497987	True	"""A chromatin remodelling complex that regulates transcription via acetylation primarily of nucleosomal histones H3 and possibly H4. Shares the histone acetylation (HAT) module of GCN5/PCAF-ADA2-ADA3-SGF29 (or orthologs) with the related SAGA complex (GO:0000124). Contains HAT subunits GCN5 or PCAF in a mutually exclusive manner. In addition to the HAT module contains DR1/NC2B, KAT14, MBIP, WDR5, YEATS2 and ZZZ3 or orthologs. Also regulates the activity of non-histone targets and orchestrates mitotic progression by regulating Cyclin A degradation through acetylation."" [GOC:bhm, PMID:19936620, PMID:20562830, PMID:28966424]"	14	104	2	17376	0.0192307692307692	0.1428571428571428	query_1	['GO:0070461']	['POLE4', 'POLE3']
839	GO:CC	GO:0140445	chromosome, telomeric repeat region	0.0078558059497987	True	"""A complex of DNA and protein that seals the end of a chromosome. The telomeric repeat DNA consists of simple tandemly repeated sequences specific for each species. Typically one strand is G-rich and the other C-rich. The G-rich strand forms a 3'-terminal overhang, the length of which varies with species. The single strand overhang is bound by a variety of proteins, including telomere capping proteins that bind to the single-stranded DNA and seal the telomeric loop."" [PMID:11352055, PMID:30208292]"	14	104	2	17376	0.0192307692307692	0.1428571428571428	query_1	['GO:0000781']	['XRCC6', 'XRCC5']
840	GO:BP	GO:0051254	positive regulation of RNA metabolic process	0.0079102998259308	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1770	104	21	17376	0.2019230769230769	0.011864406779661	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'MLH1', 'BRCA2', 'AR', 'PARP1', 'ERCC1', 'BLM', 'ATM', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
841	GO:BP	GO:0033077	T cell differentiation in thymus	0.0080257975627906	True	"""The process in which a precursor cell type acquires the specialized features of a T cell via a differentiation pathway dependent upon transit through the thymus."" [GOC:add, ISBN:0781735149]"	85	104	4	17376	0.0384615384615384	0.0470588235294117	query_1	['GO:0030217']	['LIG4', 'PRKDC', 'TP53', 'CDK6']
842	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	0.0083886070657767	True	PIP3 activates AKT signaling	249	104	6	17376	0.0576923076923076	0.0240963855421686	query_1	['REAC:R-HSA-9006925']	['AKT1', 'PHLPP1', 'CDKN1A', 'TP53', 'PHLPP2', 'KDM1A']
843	GO:BP	GO:0042327	positive regulation of phosphorylation	0.0084289089581764	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule."" [GOC:jl]"	752	104	12	17376	0.1153846153846153	0.0159574468085106	query_1	['GO:0016310', 'GO:0042325', 'GO:0045937']	['AKT1', 'NBN', 'RAD50', 'XRCC6', 'CDKN1A', 'AR', 'XRCC5', 'MRE11', 'CCND2', 'MNAT1', 'TP53', 'CCND1']
844	GO:BP	GO:0072711	cellular response to hydroxyurea	0.0088271284665901	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydroxyurea stimulus."" [GOC:mah]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0071241', 'GO:0072710', 'GO:1901699']	['BLM', 'RAD51']
845	GO:BP	GO:0090657	telomeric loop disassembly	0.0088271284665901	True	"""The telomere maintenance process in which telomeric loops are disassembled to permit efficient telomere replication."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:22579284]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0000723']	['BLM', 'WRN']
846	GO:BP	GO:0034397	telomere localization	0.0088271284665901	True	"""Any process in which a telomere is transported to, and/or maintained in, a specific location."" [GOC:mah, GOC:vw]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0050000']	['MLH1', 'ATM']
847	GO:BP	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	0.0088271284665901	True	"""The directed movement of a chromosome to the nuclear envelope that contributes to homologous chromosome segregation and precedes synapsis."" [GOC:ascb_2009, GOC:dph, GOC:tb, PMID:19913287]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0022414', 'GO:0045143', 'GO:0051303']	['MLH1', 'ATM']
848	GO:BP	GO:0031061	negative regulation of histone methylation	0.0088271284665901	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent addition of methyl groups to histones."" [GOC:mah]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0016571', 'GO:0031060', 'GO:0031400']	['BRCA1', 'KDM1A']
849	GO:BP	GO:0002328	pro-B cell differentiation	0.0088271284665901	True	"""The process in which a precursor cell type acquires the specialized features of a pro-B cell. Pro-B cells are the earliest stage of the B cell lineage and undergo heavy chain D and J gene rearrangements, although they are not fully committed."" [GOC:jal, ISBN:0781735149]"	11	104	2	17376	0.0192307692307692	0.1818181818181818	query_1	['GO:0002320']	['LIG4', 'PRKDC']
850	GO:CC	GO:0001741	XY body	0.008879260539178	True	"""A structure found in a male mammalian spermatocyte containing an unpaired X chromosome that has become densely heterochromatic, silenced and localized at the nuclear periphery."" [GOC:hjd, GOC:mr, PMID:20622855, Wikipedia:XY_sex-determination_system]"	15	104	2	17376	0.0192307692307692	0.1333333333333333	query_1	['GO:0000803']	['H2AX', 'BRCA1']
851	GO:CC	GO:0090575	RNA polymerase II transcription regulator complex	0.008879260539178	True	"""A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II."" [GOC:tb]"	245	104	6	17376	0.0576923076923076	0.0244897959183673	query_1	['GO:0005667', 'GO:0140513']	['CDK7', 'HLTF', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
852	GO:BP	GO:1901698	response to nitrogen compound	0.0089207095686951	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1081	104	15	17376	0.1442307692307692	0.0138760407030527	query_1	['GO:0042221']	['BRIP1', 'AKT1', 'OGG1', 'PCNA', 'PARP1', 'BLM', 'RAD51', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'CDK4', 'TP53', 'KDM1A', 'CCND1']
853	REAC	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.0093445229056571	True	Interleukin-4 and Interleukin-13 signaling	110	104	4	17376	0.0384615384615384	0.0363636363636363	query_1	['REAC:R-HSA-449147']	['AKT1', 'CDKN1A', 'TP53', 'CCND1']
854	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	0.0095424847876592	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	104	16	17376	0.1538461538461538	0.0133111480865224	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'AR', 'PARP1', 'ERCC1', 'ATM', 'APEX1', 'BRCA1', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
855	GO:BP	GO:0030217	T cell differentiation	0.0095731559980668	True	"""The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."" [GO_REF:0000022, GOC:jid, GOC:mah]"	297	104	7	17376	0.0673076923076923	0.0235690235690235	query_1	['GO:0030098', 'GO:0042110']	['LIG4', 'NHEJ1', 'FANCD2', 'PRKDC', 'KAT5', 'TP53', 'CDK6']
856	GO:BP	GO:0032781	positive regulation of ATP-dependent activity	0.010048582156482	True	"""Any process that activates or increases the rate of an ATP-dependent activity."" [GOC:mah]"	43	104	3	17376	0.0288461538461538	0.0697674418604651	query_1	['GO:0043462', 'GO:0044093']	['MSH2', 'MSH3', 'MSH6']
857	GO:BP	GO:0030183	B cell differentiation	0.0102205091132162	True	"""The process in which a precursor cell type acquires the specialized features of a B cell. A B cell is a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."" [GO_REF:0000022, GOC:mah]"	152	104	5	17376	0.048076923076923	0.0328947368421052	query_1	['GO:0030098', 'GO:0042113']	['MSH2', 'NHEJ1', 'ATM', 'PRKDC', 'TP53']
858	GO:BP	GO:0033327	Leydig cell differentiation	0.0103991736359408	True	"""The process in which a relatively unspecialized cell acquires specialized structural and/or functional features of a Leydig cell. A Leydig cell is a testosterone-secreting cell in the interstitial area, between the seminiferous tubules, in the testis."" [GOC:ln, PMID:12050120]"	12	104	2	17376	0.0192307692307692	0.1666666666666666	query_1	['GO:0003006', 'GO:0008584', 'GO:0030154']	['AR', 'CCND1']
859	GO:BP	GO:0072710	response to hydroxyurea	0.0103991736359408	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydroxyurea stimulus."" [GOC:mah]"	12	104	2	17376	0.0192307692307692	0.1666666666666666	query_1	['GO:0010033', 'GO:1901698']	['BLM', 'RAD51']
860	GO:BP	GO:0033148	positive regulation of intracellular estrogen receptor signaling pathway	0.0103991736359408	True	"""Any process that activates or increases the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway."" [GOC:mah]"	12	104	2	17376	0.0192307692307692	0.1666666666666666	query_1	['GO:0030520', 'GO:0033145', 'GO:0033146']	['AR', 'PARP1']
861	GO:BP	GO:0006355	regulation of DNA-templated transcription	0.0105880551801918	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	104	31	17376	0.2980769230769231	0.0098852040816326	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'OGG1', 'BRCA2', 'PCNA', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
862	GO:BP	GO:0031952	regulation of protein autophosphorylation	0.0106216376647909	True	"""Any process that modulates the frequency, rate or extent of addition of the phosphorylation by a protein of one or more of its own residues."" [GOC:mah]"	44	104	3	17376	0.0288461538461538	0.0681818181818181	query_1	['GO:0001932', 'GO:0046777']	['NBN', 'RAD50', 'MRE11']
863	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	0.0106589602005399	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	104	31	17376	0.2980769230769231	0.0098789037603569	query_1	['GO:0097659', 'GO:2001141']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'OGG1', 'BRCA2', 'PCNA', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
864	REAC	REAC:R-HSA-3232118	SUMOylation of transcription factors	0.010913475616175	True	SUMOylation of transcription factors	18	104	2	17376	0.0192307692307692	0.1111111111111111	query_1	['REAC:R-HSA-3108232']	['TP53BP1', 'TP53']
865	REAC	REAC:R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	0.010913475616175	True	E3 ubiquitin ligases ubiquitinate target proteins	58	104	3	17376	0.0288461538461538	0.0517241379310344	query_1	['REAC:R-HSA-8852135']	['HLTF', 'PCNA', 'PRKDC']
866	REAC	REAC:R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	0.010913475616175	True	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	18	104	2	17376	0.0192307692307692	0.1111111111111111	query_1	['REAC:R-HSA-6791312']	['PCNA', 'TP53']
867	REAC	REAC:R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	0.0112033706457108	True	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	59	104	3	17376	0.0288461538461538	0.0508474576271186	query_1	['REAC:R-HSA-73928']	['H2AX', 'OGG1', 'NEIL1']
868	REAC	REAC:R-HSA-73928	Depyrimidination	0.0112033706457108	True	Depyrimidination	59	104	3	17376	0.0288461538461538	0.0508474576271186	query_1	['REAC:R-HSA-73929']	['H2AX', 'OGG1', 'NEIL1']
869	REAC	REAC:R-HSA-110329	Cleavage of the damaged pyrimidine 	0.0112033706457108	True	Cleavage of the damaged pyrimidine 	59	104	3	17376	0.0288461538461538	0.0508474576271186	query_1	['REAC:R-HSA-73928']	['H2AX', 'OGG1', 'NEIL1']
870	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	0.0116730704276288	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2346	104	25	17376	0.2403846153846154	0.0106564364876385	query_1	['GO:0006355', 'GO:0006366']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'PCNA', 'AR', 'CCNH', 'PARP1', 'ERCC1', 'ATM', 'APEX1', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'KDM1A', 'CDK6', 'CCND1']
871	REAC	REAC:R-HSA-73929	Base-Excision Repair, AP Site Formation	0.0116866866364888	True	Base-Excision Repair, AP Site Formation	60	104	3	17376	0.0288461538461538	0.05	query_1	['REAC:R-HSA-73884']	['H2AX', 'OGG1', 'NEIL1']
872	GO:BP	GO:0051128	regulation of cellular component organization	0.0117203439166668	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	104	25	17376	0.2403846153846154	0.0106518960374946	query_1	['GO:0016043', 'GO:0050794']	['AKT1', 'NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'RAD1', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'MNAT1', 'BRCA1', 'CDK2', 'XRCC1', 'KAT5', 'RMI2', 'TP53', 'PNKP', 'KDM1A']
873	REAC	REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	0.0118634624714009	True	Regulation of TP53 Activity through Methylation	19	104	2	17376	0.0192307692307692	0.1052631578947368	query_1	['REAC:R-HSA-5633007']	['ATM', 'TP53']
874	GO:BP	GO:0046777	protein autophosphorylation	0.0118776107706212	True	"""The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."" [ISBN:0198506732]"	230	104	6	17376	0.0576923076923076	0.0260869565217391	query_1	['GO:0006468']	['AKT1', 'NBN', 'RAD50', 'ATR', 'ATM', 'MRE11']
875	GO:BP	GO:0034655	nucleobase-containing compound catabolic process	0.0118776107706212	True	"""The chemical reactions and pathways resulting in the breakdown of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	396	104	8	17376	0.0769230769230769	0.0202020202020202	query_1	['GO:0006139', 'GO:0019439', 'GO:0044270', 'GO:0046700', 'GO:1901361']	['AKT1', 'MLH1', 'FEN1', 'OGG1', 'ATM', 'APEX1', 'POLB', 'NEIL1']
876	GO:BP	GO:0033145	positive regulation of intracellular steroid hormone receptor signaling pathway	0.0119970138229549	True	"""Any process that activates or increases the frequency, rate or extent of the activity of any intracellular steroid hormone receptor signaling pathway."" [GOC:mah]"	13	104	2	17376	0.0192307692307692	0.1538461538461538	query_1	['GO:0009967', 'GO:0030518', 'GO:0033143']	['AR', 'PARP1']
877	GO:BP	GO:0002327	immature B cell differentiation	0.0119970138229549	True	"""The process in which a precursor cell type acquires the specialized features of an immature B cell."" [GOC:jal, ISBN:0781735149, PMID:16551251]"	13	104	2	17376	0.0192307692307692	0.1538461538461538	query_1	['GO:0030183']	['ATM', 'PRKDC']
878	GO:BP	GO:0065004	protein-DNA complex assembly	0.0119970138229549	True	"""The aggregation, arrangement and bonding together of proteins and DNA molecules to form a protein-DNA complex."" [GOC:jl]"	231	104	6	17376	0.0576923076923076	0.0259740259740259	query_1	['GO:0065003', 'GO:0071824']	['RAD52', 'H2AX', 'POLE3', 'RAD51', 'CHRAC1', 'TP53']
879	GO:BP	GO:0062014	negative regulation of small molecule metabolic process	0.0119970138229549	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of a small molecule metabolic process."" [GOC:vw]"	96	104	4	17376	0.0384615384615384	0.0416666666666666	query_1	['GO:0009892', 'GO:0044281', 'GO:0062012']	['AKT1', 'PARP1', 'BRCA1', 'TP53']
880	GO:BP	GO:1901214	regulation of neuron death	0.0119970138229549	True	"""Any process that modulates the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"	311	104	7	17376	0.0673076923076923	0.022508038585209	query_1	['GO:0010941', 'GO:0070997']	['AKT1', 'MSH2', 'LIG4', 'PARP1', 'ATM', 'TP53', 'CCND1']
881	GO:BP	GO:0070141	response to UV-A	0.0119970138229549	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-A radiation stimulus. UV-A radiation (UV-A light) spans the wavelengths 315 to 400 nm."" [GOC:BHF, GOC:mah]"	13	104	2	17376	0.0192307692307692	0.1538461538461538	query_1	['GO:0009411']	['AKT1', 'CCND1']
882	GO:BP	GO:0001934	positive regulation of protein phosphorylation	0.0120318831740148	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]"	686	104	11	17376	0.1057692307692307	0.0160349854227405	query_1	['GO:0001932', 'GO:0006468', 'GO:0031401', 'GO:0042327']	['AKT1', 'NBN', 'RAD50', 'XRCC6', 'CDKN1A', 'XRCC5', 'MRE11', 'CCND2', 'MNAT1', 'TP53', 'CCND1']
883	REAC	REAC:R-HSA-9616334	Defective Base Excision Repair Associated with NEIL1	0.0120521513477308	True	Defective Base Excision Repair Associated with NEIL1	1	104	1	17376	0.0096153846153846	1.0	query_1	['REAC:R-HSA-9605308']	['NEIL1']
884	REAC	REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	0.0120521513477308	True	Oxidative Stress Induced Senescence	120	104	4	17376	0.0384615384615384	0.0333333333333333	query_1	['REAC:R-HSA-2559583']	['H2AX', 'CDK4', 'TP53', 'CDK6']
885	REAC	REAC:R-HSA-9723907	Loss of Function of TP53 in Cancer	0.0120521513477308	True	Loss of Function of TP53 in Cancer	1	104	1	17376	0.0096153846153846	1.0	query_1	['REAC:R-HSA-9734009']	['TP53']
886	REAC	REAC:R-HSA-192814	vRNA Synthesis	0.0120521513477308	True	vRNA Synthesis	1	104	1	17376	0.0096153846153846	1.0	query_1	['REAC:R-HSA-168273']	['PARP1']
